players,nation,pos,club,age,weekly,mp,starts,minutes,90s,goals,assists,nonpkg,pkmade,pkatt,yellowcrd,redcrd,shots,shtont,shtont%,shot/90,shtont/90,goal/sht,goal/shtont,distance,fksht,plyrtkl,tklw,dribtkl,dribpast,press,blocks,shblck,passblck,int,tkl+int,clr,errleadsht,2yelcrd,fouls,fouldrwn,offsides,cross,pkwon,pkcon,og,recov,aerialwon,aeriallost,won%,sca,sca90,dribsa,fouldsa,defsa,gca,gca90,dribg,fouldg,defg,mn/mp,min%,cmplmatch,subbedon,mn/sub,unsub,ong,onga,passcomp,passatt,passcomp%,livepass,deadpass,fkpass,pasfrmtbck,unprpass,offpasses,outobound,intercpass,blckdpass,touches,succdrib,attdrib,succ%,plyrsdrib,nutmegs,totdist,prgdist,disposs,passtarg,passrecvd,passrec%,progpass
Max Aarons,ENG,DF,Norwich City,21,22500,34,32,2881,32,0,2,0,0,0,8,0,13,2,15.4,0.41,0.06,0,0,20.5,0,69,37,37,21,434,86,22,64,56,125,70,0,0,31,59,1,45,0,2,1,177,15,51,22.7,38,1.19,3,2,0,5,0.16,0,0,0,85,84.2,29,2,22,2,18,69,1087,1440,75.5,1102,338,27,2,173,7,28,52,56,1855,33,78,42.3,35,6,6382,3893,30,1153,1037,89.9,41
Rayan Ait Nouri,FRA,DF,Wolves,20,4423,23,20,1828,20.3,1,2,1,0,0,4,0,13,4,30.8,0.64,0.2,0.08,0.25,16.9,0,76,43,28,17,402,34,3,31,38,114,32,1,0,20,23,3,56,1,0,0,135,20,19,51.3,44,2.17,4,2,2,6,0.3,0,1,0,79,53.5,17,3,13,12,25,26,754,1003,75.2,788,215,16,1,135,2,28,33,31,1281,40,73,54.8,44,2,3704,2300,32,820,729,88.9,60
Kristoffer Ajer,NOR,DF,Brentford,23,22115,24,23,1995,22.2,1,3,1,0,0,5,0,7,1,14.3,0.32,0.05,0.14,1,9.1,0,40,22,20,16,206,36,13,23,49,89,81,1,0,18,19,0,12,0,0,0,186,63,38,62.4,28,1.26,1,1,1,6,0.27,1,1,0,83,58.3,17,1,45,3,29,32,629,873,72.1,721,152,8,0,138,4,23,33,40,1108,11,17,64.7,11,0,3385,2047,11,595,534,89.7,18
Nathan Ake,NED,DF,Manchester City,26,92308,14,10,923,10.3,2,0,2,0,0,0,0,5,2,40,0.49,0.2,0.4,1,5.8,0,15,5,4,3,70,12,5,7,18,33,31,0,0,8,5,0,0,0,0,0,78,41,8,83.7,3,0.29,0,0,0,0,0,0,0,0,66,27,8,4,25,22,19,3,780,855,91.2,813,42,16,0,71,0,10,7,8,936,0,2,0,0,0,3560,2226,1,754,724,96,2
Trent Alexander-Arnold,ENG,DF,Liverpool,22,180000,32,32,2853,31.7,2,12,2,0,0,2,0,51,14,27.5,1.61,0.44,0.04,0.14,23,5,44,24,23,36,288,39,5,34,76,120,43,1,0,16,9,11,127,0,0,0,319,18,22,45,150,4.73,5,1,0,17,0.54,0,0,0,89,83.4,30,0,,2,80,22,2013,2706,74.4,2155,551,90,20,237,6,38,102,77,3009,26,44,59.1,26,0,6044,3315,26,2017,1879,93.2,123
Marcos Alonso,ESP,DF,Chelsea,30,100000,28,25,2167,24.1,4,4,4,0,0,8,0,43,10,23.3,1.79,0.42,0.09,0.4,18.9,9,45,28,14,18,300,39,6,33,66,111,55,0,0,33,34,3,64,0,1,0,216,59,26,69.4,89,3.7,4,2,2,9,0.37,0,0,0,77,63.4,16,3,28,6,42,22,1132,1456,77.7,1162,294,26,1,234,3,25,48,42,1787,19,39,48.7,20,2,4917,2570,32,1182,1037,87.7,110
Daniel Amartey,GHA,DF,Leicester City,26,20962,28,23,2123,23.6,0,0,0,0,0,4,0,2,1,50,0.08,0.04,0,0,32.1,0,25,12,16,16,172,48,24,24,30,55,110,2,0,17,9,1,0,0,0,0,211,45,38,54.2,17,0.72,0,0,1,1,0.04,0,0,0,76,62.1,22,5,20,6,35,40,1353,1475,91.7,1447,28,21,0,137,2,9,22,18,1702,6,8,75,6,0,5166,2940,2,1263,1236,97.9,1
Joachim Andersen,DEN,DF,Crystal Palace,25,79423,34,32,2916,32.4,0,3,0,0,0,4,0,8,3,37.5,0.25,0.09,0,0,14,1,36,23,14,14,157,41,21,20,60,96,156,2,0,19,8,1,14,0,0,1,287,84,43,66.1,33,1.02,0,0,2,5,0.15,0,0,0,86,85.3,31,2,22,0,44,37,1813,2197,82.5,2115,82,74,2,186,5,55,52,14,2508,6,8,75,6,0,8962,4315,8,1808,1788,98.9,2
Luke Ayling,ENG,DF,Leeds United,29,8077,26,26,2272,25.2,2,2,2,0,0,4,1,19,3,15.8,0.75,0.12,0.11,0.67,12.8,0,79,45,49,52,392,49,28,21,54,133,68,1,0,28,24,2,25,0,1,0,263,49,51,49,22,0.87,0,0,0,3,0.12,0,0,0,87,66.4,23,0,,0,30,66,1218,1558,78.2,1384,174,36,2,209,9,29,70,26,1861,25,41,61,27,6,6509,3840,20,1198,1134,94.7,32
Cesar Azpilicueta,ESP,DF,Chelsea,31,150000,27,24,2070,23,1,2,1,0,0,3,0,13,4,30.8,0.57,0.17,0.08,0.25,13.6,0,54,31,21,22,356,62,11,51,37,91,71,1,0,29,8,2,37,0,1,0,169,52,34,60.5,44,1.91,2,0,0,8,0.35,1,0,0,77,60.5,16,3,20,7,36,23,1442,1713,84.2,1560,153,27,0,158,7,19,56,39,1958,15,20,75,15,1,5111,2994,8,1464,1388,94.8,54
